Jenis_Kelamin,Usia,Kelas,Program Studi,Asal_Sekolah,Kemampuan_Finansial,Jumlah_SKS_Ulang,Jumlah_Cuti,Label
P,18,Reguler,Elins,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,22,Malam,Comp,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,18,Reguler,Elins,SMK Swasta,Sangat Baik,2,0,Lulus Tepat Waktu
L,19,Shift,Comp,SMK Swasta,Sangat Baik,3,0,Lulus Tepat Waktu
L,18,Reguler,Elins,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,18,Malam,Elins,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
P,17,Reguler,Comp,SMK Swasta,Sangat Baik,2,0,Lulus Tepat Waktu
L,20,Shift,Comp,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,20,Malam,Elins,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,19,Shift,Comp,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,20,Shift,Elins,SMK Swasta,Sangat Baik,5,0,Lulus Tepat Waktu
L,20,Reguler,Elins,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,18,Malam,Elins,SMA Negeri,Sangat Baik,3,0,Lulus Tepat Waktu
P,18,Reguler,Comp,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Malam,Elins,SMK Swasta,Sangat Baik,5,0,Lulus Tepat Waktu
L,18,Reguler,Comp,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,18,Reguler,Elins,SMA Negeri,Sangat Baik,8,0,Lulus Tepat Waktu
L,20,Shift,Comp,SMK Negeri,Sangat Baik,5,0,Lulus Tepat Waktu
P,23,Malam,Elins,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,25,Shift,Elins,SMK Negeri,Sangat Baik,3,0,Lulus Tepat Waktu
L,22,Shift,Comp,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,26,Malam,Comp,SMK Negeri,Sangat Baik,5,0,Lulus Tepat Waktu
L,23,Shift,Comp,SMA Negeri,Sangat Baik,12,2,Lulus Tidak Tepat Waktu
P,18,Reguler,Elins,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,23,Malam,Comp,SMK Negeri,Sangat Baik,28,4,Lulus Tidak Tepat Waktu
P,23,Malam,Elins,SMK Swasta,Sangat Baik,8,0,Lulus Tepat Waktu
L,18,Reguler,Comp,SMK Swasta,Sangat Baik,2,0,Lulus Tepat Waktu
L,22,Shift,Elins,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,34,Malam,Stat,SMK Negeri,Cukup,16,0,Lulus Tidak Tepat Waktu
L,19,Shift,Stat,SMA Negeri,Baik,9,0,Lulus Tidak Tepat Waktu
L,20,Shift,Math,SMK Swasta,Baik,7,2,Lulus Tidak Tepat Waktu
L,22,Shift,Stat,SMA Swasta,Baik,7,0,Lulus Tidak Tepat Waktu
P,19,Malam,Math,SMK Swasta,Baik,7,0,Lulus Tidak Tepat Waktu
P,20,Shift,Stat,SMK Swasta,Sangat Baik,42,2,Lulus Tidak Tepat Waktu
L,22,Shift,Stat,SMA Negeri,Baik,20,2,Lulus Tidak Tepat Waktu
P,21,Malam,Math,SMA Negeri,Sangat Baik,5,1,Lulus Tidak Tepat Waktu
L,26,Malam,Math,SMA Negeri,Baik,11,0,Lulus Tidak Tepat Waktu
L,21,Malam,Stat,SMA Negeri,Baik,7,0,Lulus Tidak Tepat Waktu
P,20,Reguler,Stat,SMA Swasta,Cukup,60,2,Lulus Tidak Tepat Waktu
P,19,Malam,Math,SMA Negeri,Sangat Baik,2,0,Lulus Tidak Tepat Waktu
